"#","Name","Pos","GP","TCK","ATCK","Sacks","FUM","FF","BK","INT","PD","TD"
"3","Jonathan Bane","QB","10","0","0","0.0","1","0","0","0","0","0"
"56","Terrence Ames Jr","OL","14","1","0","0.0","1","0","0","0","0","0"
"2","Sha'Haun Williams","DL","9","3","3","0.0","0","0","0","0","0","0"
"93","Walter Thomas","DL","14","3","0","0.0","0","0","0","0","1","0"
"4","Adam Smith","WR","13","4","0","0.0","1","0","0","0","0","0"
"76","Dashawn Johnson","OL","11","4","0","0.0","0","0","0","0","0","0"
"6","Herbert Waters","WR","8","4","1","0.0","0","0","0","3","4","1"
"12","Cris Page","DB","6","6","0","0.0","0","0","0","4","0","0"
"20","Lorenzo White Jr.","WR","4","7","0","0.0","0","0","0","0","3","0"
"21","Jeramiah Stovall","DB","7","9","1","0.0","0","0","0","1","0","0"
"88","Lance Evans","WR","14","10","0","0.0","0","0","0","1","0","0"
"15","DJ Myers","WR","14","13","0","0.0","0","2","0","4","1","1"
"17","Kendrick Ings","WR","14","14","1","0.0","1","0","1","1","2","0"
"8","Larry Ford","S","14","16","0","3.0","1","1","0","0","0","0"
"11","James Summers","ATH","14","18","0","1.0","1","1","0","1","2","0"
"98","Micah Robinson","DL","14","20","0","1.0","0","0","3","0","1","0"
"7","Trevante Long","DB","14","22","0","0.0","0","0","0","2","3","1"
"1","Joe Powell","DB","11","23","1","0.0","1","0","0","4","1","0"
"9","Zack Brown","FB","14","30","0","7.0","1","3","0","0","0","1"

