Number,Name,Pos,GP,ATT,YDS,Avg YDS,Rush YPGA,TD,Long,FUM
4,Adam Smith,WR,13,4,2,1,0.2,0,1,1
88,Lance Evans,WR,14,1,2,2,0.1,0,2,0
8,Larry Ford,S,14,1,2,2,0.1,0,2,0
7,Trevante Long,DB,14,2,2,1,0.1,0,3,0
17,Kendrick Ings,WR,14,1,5,5,0.4,0,5,0
15,DJ Myers,WR,14,3,14,5,1,0,10,0
6,Herbert Waters,WR,8,3,24,8,3,0,11,1
3,Jonathan Bane,QB,10,20,24,1,2.4,7,9,1
10,Malik Henry,QB,4,10,24,2,6,1,1,1
11,James Summers,ATH,14,17,48,3,3.4,2,10,0
98,Micah Robinson,DL,14,23,81,4,5.8,4,10,0
9,Zack Brown,FB,14,72,222,3,15.9,10,12,2
