Number,Name,Pos,GP,REC,YDS,Avg YDS,Rec. YPGA,TD,Long,FUM
45,Kevin Thompson,OL,1,1,1,1,1,0,1,0
32,Darius Meadors,QB,12,1,6,6,0.5,0,0,0
90,Rashad Miller,DL,10,1,15,15,1.5,0,15,0
44,Victor Alvarez Jr,DL,5,3,16,5,3.2,1,7,0
66,Austin Regan,OL,11,2,24,12,2.2,0,8,1
24,Brian Foy Jr,DB,6,2,25,13,4.2,1,16,0
17,Kewan Alfred,FB,10,3,29,10,2.9,0,17,0
15,Richy Anderson,WR,7,6,57,10,8.1,1,17,0
1,Daron Clark Jr.,WR,9,9,66,7,7.3,0,16,0
22,Caleb Walls,WR,10,11,77,7,7.7,1,15,0
21,Anthony Cruz,WR,9,11,147,13,16.3,3,29,0
9,Lonnie Outlaw,WR,11,41,455,11,41.4,8,43,0
11,Clarence Williams,WR,11,61,691,11,62.8,16,41,0
